A42	STATUS	PROGRESS	YEAR	MONTH	START DATE	END DATE	DURATION (DAYS)	ORGANIZER	STATE	VENUE	BRAND	EVENT TYPE	CONTRACTOR	AGREEMENT / QUOTATION APPROVAL	FLOORPLAN	BOOTH NO	SIZE (SQM)	SEND FLOORPLAN TO DESIGNER 	3D CHECKED BY MGT	3D APPROVED BY PETER	3D UPLOADED IN NOTION	WEEKEND ACTIVITY(THEME)	LICENSE(FROM MAJLIS)	WORK / LOADING BAY PERMIT	DECO / COFFE TABLE	SEC DEPO REFUND	TOTAL SALES (RM)	RENTAL (RM)	LINK NOTION 	GCAL ID
2026-04-REX-KL-MIDVALLEY-ZANOTTI	CONFIRMED	COMPLETED	2026	APRIL	17/04/2026	19/04/2026	3	REX	KL	MID VALLEY	ZANOTTI	EXHIBITION	DREAMART	True	True	536B -538B, 536A -538A (6 BOOTH)	36.13	True	True	DONE	True						65354			uk10kc3oantio6vre9b6lmnnv8@google.com
2026-03-KAI HAO (KL CHEN)-MELAKA-MAHKOTAPARADE-AKEMI	CONFIRMED	COMPLETED	2026	MARCH	21/03/2026	29/03/2026	9	KAI HAO (KL CHEN)	MELAKA	MAHKOTA PARADE	AKEMI	SOLO	DREAMART	True	True	KG10A1	160.54	True	True	DONE	True	NO NEED	NO NEED	DONE	DONE	NO SEC DEPO	67255	17756.21		41n7b5i0lb0e696keu69cokci0@google.com
2026-03-MALL MGT-PENANG-SUNWAYCARNIVAL-ZANOTTI	CONFIRMED	COMPLETED	2026	MARCH	03/03/2026	08/03/2026	6	MALL MGT	PENANG	SUNWAY CARNIVAL	ZANOTTI	SOLO	DREAMART	True	True	2F-36	444.945	True	True	DONE	True	DONE	NO NEED	DONE	DONE	NO SEC DEPO	68588	7434.95		0ambd8c9c4ehd39mppcupkheeo@google.com
2026-01-MLE-KL-SCCCSHAHALAM-AKEMI	CONFIRMED	COMPLETED	2026	JANUARY	09/01/2026	11/01/2026	3	MLE	KL	SCCC SHAH ALAM	AKEMI	EXHIBITION	DREAMART	True	True	C9 (6 BOOTH)	54	True	True	DONE	True	NO NEED	NO NEED	DONE	NO NEED		70312	24600	https://chlorinated-glue-adf.notion.site/KL-Akemi-MLE-SETIA-CITY-CONVENTION-CENTRE-2df7ce8e74e1805aabf6f30f8783e08a?source=copy_link	lg59stkaa3trmmdcrmotj66pps@google.com
2026-01-BIGHOME-JOHOR-MVECSOUTHKEY-ZANOTTI	CONFIRMED	COMPLETED	2026	JANUARY	31/01/2026	02/02/2026	3	BIGHOME	JOHOR	MVEC SOUTHKEY	ZANOTTI	EXHIBITION	DREAMART	True	True	A24-A26, A29-A31 (6 BOOTH)	54	True	True	DONE	True	NO NEED	NO NEED	DONE	NO NEED		70360	9400	https://chlorinated-glue-adf.notion.site/JOHOR-Zanotti-BIGHOME-MVEC-SOUTHKEY-2f67ce8e74e18043b4b1f03098dd97bd?source=copy_link	73uo3g3e96kkp9u14jp6mb0es0@google.com
2026-03-MEGAHOME-PENANG-PISASPICEARENACONVENTIONCENTRE-AKEMI	CONFIRMED	COMPLETED	2026	MARCH	06/03/2026	08/03/2026	3	MEGAHOME	PENANG	PISA SPICE ARENA CONVENTION CENTRE	AKEMI	EXHIBITION	DREAMART	True	True	S2 P129-132 (8 BOOTH)	30	True	True	DONE	True	NO NEED	NO NEED	NO NEED	NO NEED	NO SEC DEPO	71805	28000	https://chlorinated-glue-adf.notion.site/PENANG-Akemi-MEGAHOME-PISA-SPICE-ARENA-3177ce8e74e1804f8083dba9656eedf4?source=copy_link	qjke3k0aplc3vjfu9c04e292mk@google.com
2026-04-REX-KL-MIDVALLEY-AKEMI	CONFIRMED	COMPLETED	2026	APRIL	17/04/2026	19/04/2026	3	REX	KL	MID VALLEY	AKEMI	EXHIBITION	DREAMART	True	True	556-561 (6 BOOTH)	54	True	True	DONE	True						74774			vpjqtkpr4ibd7ada3hrsrg1lm0@google.com
2026-03-MEGAHOME-PENANG-PISASPICEARENACONVENTIONCENTRE-ZANOTTI	CONFIRMED	COMPLETED	2026	MARCH	06/03/2026	08/03/2026	3	MEGAHOME	PENANG	PISA SPICE ARENA CONVENTION CENTRE	ZANOTTI	EXHIBITION	DREAMART	True	True	D10	45.72	True	True	DONE	True	NO NEED	NO NEED	NO NEED	NO NEED	NO SEC DEPO	75383	16000	https://chlorinated-glue-adf.notion.site/PENANG-Zanotti-MEGAHOME-PISA-SPICE-ARENA-3177ce8e74e180d39b68fcabf8e6362a?source=copy_link	mdpqtq1qegpmj22a67gc5la11g@google.com
2026-01-MLE-PENANG-PISASPICEARENACONVENTIONCENTRE-AKEMI	CONFIRMED	COMPLETED	2026	JANUARY	30/01/2026	01/02/2026	3	MLE	PENANG	PISA SPICE ARENA CONVENTION CENTRE	AKEMI	EXHIBITION	DREAMART	True	True	3095-3103 (6 BOOTH)	90	True	True	DONE	True	NO NEED	NO NEED	NO NEED	NO NEED		77539	18666.7	https://chlorinated-glue-adf.notion.site/PENANG-Akemi-MLE-PISA-SPICE-ARENA-2ee7ce8e74e180e688f5d441ee3b1ddf?source=copy_link	k61junl3ciq0te206g1vutmuic@google.com
2026-01-REX-KL-PAVILIONBUKITJALIL-AKEMI	CONFIRMED	COMPLETED	2026	JANUARY	30/01/2026	02/02/2026	4	REX	KL	PAVILION BUKIT JALIL	AKEMI	EXHIBITION	DREAMART	True	True	3011 (6 BOOTH)	90	True	True	DONE	True	NO NEED	NO NEED	DONE	DONE		77598	16000	https://chlorinated-glue-adf.notion.site/KL-Akemi-REX-PAVILION-BUKIT-JALIL-2d17ce8e74e180a494ead1d6de0e83c6?source=copy_link	n7qvujrudhkbb36a64fkj1vv7c@google.com
2026-04-HOMEDEC-PENANG-SETIASPICECONVENTIONCENTRE-AKEMI C&C	CONFIRMED	COMPLETED	2026	APRIL	10/04/2026	12/04/2026	3	HOMEDEC	PENANG	SETIA SPICE CONVENTION CENTRE	ZANOTTI	EXHIBITION	DREAMART	True	True	A055	54	True	True	DONE	True	NO NEED	NO NEED	NO NEED	NO NEED		78520			ot10edd9v95a4de4g5blo572n0@google.com
2026-03-REX-JOHOR-MVECSOUTHKEY-ZANOTTI	CONFIRMED	COMPLETED	2026	MARCH	20/03/2026	23/03/2026	4	REX	JOHOR	MVEC SOUTHKEY	ZANOTTI	EXHIBITION	DREAMART	True	True	368-371 (4 BOOTH)	36	True	True	DONE	True	NO NEED	NO NEED	NO NEED	NO NEED	NO SEC DEPO	80068	18800		4o78fqi4639j9pn5p6luv21750@google.com
2026-01-MYHOME-PENANG-PWCC-AKEMI	CONFIRMED	COMPLETED	2026	JANUARY	16/01/2026	18/01/2026	3	MYHOME	PENANG	PWCC	AKEMI	EXHIBITION	DREAMART	True	True	F603 (8 BOOTH)	45	True	True	DONE	True	NO NEED	NO NEED	DONE	DONE		80379	32000	https://chlorinated-glue-adf.notion.site/PENANG-Akemi-MYHOME-PENANG-WATERFRONT-CONVENTION-CENTRE-2d17ce8e74e180239d4be7c0964758ff?source=copy_link	h96urp8jggul18n8c5ij8445h8@google.com
2026-01-HOMELOVE-PUTRAJAYA-IOIGECC-AKEMI	CONFIRMED	COMPLETED	2026	JANUARY	30/01/2026	02/02/2026	4	HOMELOVE	PUTRAJAYA	IOIGECC	AKEMI	EXHIBITION	DREAMART	True	True	011-020 (6 BOOTH)	90	True	True	DONE	True	NO NEED	NO NEED	DONE	NO NEED		82303	16000	https://chlorinated-glue-adf.notion.site/PUTRAJAYA-Akemi-HOMELOVE-IOIGECC-PUTRAJAYA-2c67ce8e74e180bb8d6efc95231c752f?source=copy_link	bv2746k41m1rgbgjl3jj68ua1o@google.com
2026-02-MLE-KL-MIDVALLEY-AKEMI	CONFIRMED	COMPLETED	2026	FEBRUARY	27/02/2026	01/03/2026	3	MLE	KL	MID VALLEY	AKEMI	EXHIBITION	DREAMART	True	True	D43,44 (8 BOOTH)	36	True	True	DONE	True	NO NEED	NO NEED	DONE	NO NEED		83538	27200	https://chlorinated-glue-adf.notion.site/KL-Akemi-MLE-MID-VALLEY-3067ce8e74e1809db7ebda0e1d42b373?source=copy_link	p3ts40dnaqvpmbpsmdrk457lfk@google.com
2026-02-MLE-KL-MIDVALLEY-ERGOTEX	CONFIRMED	COMPLETED	2026	FEBRUARY	27/02/2026	01/03/2026	3	MLE	KL	MID VALLEY	ERGOTEX	EXHIBITION	DREAMART	True	True	B34 (6 BOOTH)	54	True	True	DONE	True	NO NEED	NO NEED	DONE	DONE		83557	22000	https://chlorinated-glue-adf.notion.site/KL-Ergotex-MLE-MID-VALLEY-3067ce8e74e1801baf5ce1382fd90548?source=copy_link	kktngo2e0li8oge4slpbi7cnsc@google.com
2026-03-KAI HAO (KL CHEN)-JOHOR-KSLCITYMALL-AKEMI	CONFIRMED	COMPLETED	2026	MARCH	10/03/2026	15/03/2026	6	KAI HAO (KL CHEN)	JOHOR	KSL CITY MALL	AKEMI	SOLO	DREAMART	True	True	B6-1C (62.5’ (L) x 16(w), 1000 SQFT)	92.94	True	True	DONE	True	NO NEED	NO NEED	DONE	DONE	NO SEC DEPO	84975	19834.8	https://chlorinated-glue-adf.notion.site/JOHOR-Akemi-SOLO-KSL-CITY-MALL-3177ce8e74e1807fa4fcf06799164235?source=copy_link	9qje1tv61ekg2pa54qoje80vc4@google.com
2026-01-REX-KL-PAVILIONBUKITJALIL-AKEMI	CONFIRMED	COMPLETED	2026	JANUARY	01/01/2026	04/01/2026	4	REX	KL	PAVILION BUKIT JALIL	AKEMI	EXHIBITION	DREAMART	True	True	3011 (6 BOOTH)	54	True	True	DONE	True	NO NEED	NO NEED	DONE	NO NEED		86028	25897.17	https://chlorinated-glue-adf.notion.site/KL-Akemi-REX-PAVILION-BUKIT-JALIL-2d17ce8e74e18055945eca2630edbfdb?source=copy_link	kdi9lukb1ji05nncm004g68dis@google.com
2026-04-BIGHOME-KL-SCCCSHAHALAM-AKEMI	CONFIRMED	COMPLETED	2026	APRIL	03/04/2026	05/04/2026	3	BIGHOME	KL	SCCC SHAH ALAM	AKEMI	EXHIBITION	DREAMART	True	True	A20 	54	True	True	DONE	True	NO NEED	NO NEED	NO NEED	NO NEED		87269			goohlen0kl5pc718i7lndou00s@google.com
2026-04-HOMEDEC-KL-KLCCCONVENTIONCENTRE-ZANOTTI	CONFIRMED	IN PROGRESS	2026	APRIL	30/04/2026	03/05/2026	4	HOMEDEC	KL	KLCC CONVENTION CENTRE	ZANOTTI	EXHIBITION	DREAMART	True	True	5N492	36	True	True	DONE	True						88034			uqpk4q2mrui59l1t8da48jgdkg@google.com
2026-01-MLE-JOHOR-MVECSOUTHKEY-AKEMI	CONFIRMED	COMPLETED	2026	JANUARY	09/01/2026	11/01/2026	3	MLE	JOHOR	MVEC SOUTHKEY	AKEMI	EXHIBITION	DREAMART	True	True	C07B (6 BOOTH)	54	True	True	WAITING APPROVAL	True	NO NEED	NO NEED	DONE	NO NEED		88265	27000	https://chlorinated-glue-adf.notion.site/JOHOR-Akemi-MLE-MVEC-SOUTHKEY-2d17ce8e74e1801b94e8e6bbad30a733?source=copy_link	l5s8le6712s1o3fqlsqo1q63rg@google.com
2026-04-BIGHOME-PENANG-PWCC-ZANOTTI	CONFIRMED	COMPLETED	2026	APRIL	17/04/2026	19/04/2026	3	BIGHOME	PENANG	PWCC	ZANOTTI	EXHIBITION	DREAMART	True	True	 H58-H63	36	True	True	DONE	True	NO NEED	NO NEED	NO NEED	IN PROGRESS		89322			keppsmv1vljfjkl4utuu4u4e34@google.com
2026-01-BIGHOME-PENANG-SETIASPICECONVENTIONCENTRE-AKEMI	CONFIRMED	COMPLETED	2026	JANUARY	09/01/2026	11/01/2026	3	BIGHOME	PENANG	SETIA SPICE CONVENTION CENTRE	AKEMI	EXHIBITION	DREAMART	True	True	H63 (8 BOOTH)	72	True	True	DONE	True	NO NEED	NO NEED	DONE	NO NEED		89654	32000	https://chlorinated-glue-adf.notion.site/PENANG-Akemi-BIGHOME-SETIA-SPICE-CONVENTION-CENTRE-2d17ce8e74e180a9bae5ef0cbbcd7325?source=copy_link	f7dt5qtch48o2nc1pu5dmev420@google.com
2026-04-REX-KL-MIDVALLEY-ZANOTTI	CONFIRMED	IN PROGRESS	2026	APRIL	24/04/2026	26/04/2026	3	REX	KL	MID VALLEY	ZANOTTI	EXHIBITION	DREAMART	True	True	13 (4 BOOTH)	36.13	True	True	DONE	True						93096			ag9smt81qnnhikhj7odgj54kao@google.com
2026-01-REX-KL-PAVILIONBUKITJALIL-ERGOTEX	CONFIRMED	COMPLETED	2026	JANUARY	01/01/2026	04/01/2026	4	REX	KL	PAVILION BUKIT JALIL	ERGOTEX	EXHIBITION	DREAMART	True	True	1019-1022 (4 BOOTH)	36	True	True	DONE	True	NO NEED	NO NEED	DONE	DONE		94132	16000	https://chlorinated-glue-adf.notion.site/KL-Ergotex-REX-PAVILION-BUKIT-JALIL-2d57ce8e74e18073b829c3acf056e0f5?source=copy_link	uc0a0bs5suaai0o98t4u1i2344@google.com
2026-04-BIGHOME-KL-SCCCSHAHALAM-ZANOTTI	CONFIRMED	COMPLETED	2026	APRIL	03/04/2026	05/04/2026	3	BIGHOME	KL	SCCC SHAH ALAM	ZANOTTI	EXHIBITION	DREAMART	True	True	A02	54	True	True	DONE	True	NO NEED	NO NEED	NO NEED	NO NEED		94932			9da4vov4uui72314q47fmh34ac@google.com
2026-04-INHOME-JOHOR-SUTERAMALL-AKEMI	CONFIRMED	COMPLETED	2026	APRIL	10/04/2026	12/04/2026	3	INHOME	JOHOR	SUTERA MALL 	AKEMI	EXHIBITION	DREAMART	True	True	CENTRE COURT	72	True	True	DONE	True	NO NEED	NO NEED	DONE	NO NEED		97236			68qsuhire3ejhvq96kjsan783k@google.com
2026-03-KAI HAO (KL CHEN)-KL-AEONRAWANG-AKEMI	CONFIRMED	COMPLETED	2026	MARCH	24/03/2026	29/03/2026	6	KAI HAO (KL CHEN)	KL	AEON RAWANG	AKEMI	SOLO	DREAMART	True	True	CENTRE COURT	92.9	True	True	DONE	True	DONE	NO NEED	DONE	DONE	NO SEC DEPO	98076	10365.25		gake9en5fsfm55smdn3nnbi9q4@google.com
2026-04-MEGAHOME-MELAKA-MITC-AKEMI	CONFIRMED	IN PROGRESS	2026	APRIL	30/04/2026	03/05/2026	4	MEGAHOME	MELAKA	MITC	AKEMI	EXHIBITION	DREAMART	True	True	M128-M135	72	True	True	DONE	True	NO NEED	NO NEED	NO NEED	IN PROGRESS		104076			inobf018nr3efpc5ert2s15j2c@google.com
2026-01-MLE-SEREMBAN-DATARANCENTRIO-AKEMI	CONFIRMED	COMPLETED	2026	JANUARY	01/01/2026	04/01/2026	4	MLE	SEREMBAN	DATARAN CENTRIO	AKEMI	EXHIBITION	DREAMART	True	True	F7 (6 BOOTH)	54	True	True	DONE	True	NO NEED	NO NEED	NO NEED	NO NEED		104489	18000	https://chlorinated-glue-adf.notion.site/SEREMBAN-Akemi-MLE-DATARAN-CENTRIO-2ca7ce8e74e1809488bbfb85f907f4f3?source=copy_link	9ebnndvoiq71edlb687q0196ho@google.com
2026-04-MEGAHOME-JOHOR-AICCAUSTIN-AKEMI	CONFIRMED	COMPLETED	2026	APRIL	03/04/2026	05/04/2026	3	MEGAHOME	JOHOR	AICC AUSTIN	AKEMI	EXHIBITION	DREAMART	True	True	A018-A021	36	True	True	DONE	True	NO NEED	NO NEED	NO NEED	NO NEED		107035			p55cn91j9blqg5hl42vade3fnk@google.com
2026-01-MYHOME-PENANG-PWCC-ERGOTEX	CONFIRMED	COMPLETED	2026	JANUARY	16/01/2026	18/01/2026	3	MYHOME	PENANG	PWCC	ERGOTEX	EXHIBITION	DREAMART	True	True	F618 (5 BOOTH)	45	True	True	DONE	True	NO NEED	NO NEED	DONE	DONE		108968	20000	https://chlorinated-glue-adf.notion.site/PENANG-Ergotex-MYHOME-PENANG-WATERFRONT-CONVENTION-CENTRE-2d17ce8e74e180258f4ad7b8653c1171?source=copy_link	l2ljkp398p0n6o0ac4lfaoh4o8@google.com
2026-01-PERFECT LIFESTYLE-KL-MIDVALLEY-AKEMI	CONFIRMED	COMPLETED	2026	JANUARY	16/01/2026	18/01/2026	3	PERFECT LIFESTYLE	KL	MID VALLEY	AKEMI	EXHIBITION	DREAMART	True	True	1033-1036, 1043-1046 (8 BOOTH)	72	True	True	DONE	True	NO NEED	NO NEED	DONE	NO NEED		114055	44100	https://chlorinated-glue-adf.notion.site/KL-Akemi-PERFECT-LIFESTYLE-MID-VALLEY-2c57ce8e74e18073a559e7f2cd90de3e?source=copy_link	tp1khvu7gtdudph033hnsp2i7s@google.com
2026-01-MYHOME-KL-THESTARLINGMALL-ZANOTTI	CONFIRMED	COMPLETED	2026	JANUARY	23/01/2026	25/01/2026	3	MYHOME	KL	THE STARLING MALL	ZANOTTI	EXHIBITION	DREAMART	True	True	A605 (EVENT HALL)	40.5	True	True	DONE	True	NO NEED	NO NEED	NO NEED	DONE		116568	34400	https://chlorinated-glue-adf.notion.site/KL-Zanotti-MYHOME-THE-STARLING-MALL-2d17ce8e74e18027ae54f864388cf128?source=copy_link	anoc3ip02kls1jhhunk9pkgj0s@google.com
2026-02-BIGHOME-SARAWAK-MCCCKUCHING-AKEMI	CONFIRMED	COMPLETED	2026	FEBRUARY	26/02/2026	01/03/2026	4	BIGHOME	SARAWAK	MCCC KUCHING	AKEMI	EXHIBITION	YEN CREATIVE	True	True	F01-F04, F12-F15 (8 BOOTH)	72	True	True	DONE	True	NO NEED	NO NEED	NO NEED	NO NEED		126138	24000	https://chlorinated-glue-adf.notion.site/SARAWAK-Akemi-BIGHOME-KUCHING-METROCITY-CONVENTION-CENTRE-2fb7ce8e74e180178195ecf25814eb6f?source=copy_link	tcuqe6o6m1u9uph4dlr10p7jhk@google.com
2026-03-MYHOME-KL-THESTARLINGMALL-ERGOTEX	CONFIRMED	COMPLETED	2026	MARCH	06/03/2026	08/03/2026	3	MYHOME	KL	THE STARLING MALL	ERGOTEX	EXHIBITION	DREAMART	True	True	A803 (5 BOOTH)	41.4	True	True	DONE	True	NO NEED	NO NEED	NO NEED	NO NEED	NO SEC DEPO	126519	15200	https://chlorinated-glue-adf.notion.site/KL-Zanotti-MYHOME-THE-STARLING-MALL-3177ce8e74e180c68039de26a3046c7d?source=copy_link	clhpou0v7138co7fthhnrcltc8@google.com
2026-03-REX-JOHOR-MVECSOUTHKEY-AKEMI	CONFIRMED	COMPLETED	2026	MARCH	20/03/2026	23/03/2026	4	REX	JOHOR	MVEC SOUTHKEY	AKEMI	EXHIBITION	DREAMART	True	True	359-363,365, 365-367 (8 BOOTH)	72	True	True	DONE	True	NO NEED	NO NEED	NO NEED	NO NEED	NO SEC DEPO	127612	37600		4u0ou34b8kb3hmdo6sa7vasj6g@google.com
2026-03-MALL MGT-KL-THESTARLINGMALL-AKEMI	CONFIRMED	COMPLETED	2026	MARCH	17/03/2026	29/03/2026	13	MALL MGT	KL	THE STARLING MALL	AKEMI	SOLO	DREAMART	True	True	P4, Level G (near Miniso/Montigo)	102.19	True	True	DONE	True	NO NEED	DONE	DONE	DONE	NO SEC DEPO	135467	13511.89	https://chlorinated-glue-adf.notion.site/KL-Akemi-SOLO-THE-STARLING-MALL-2fb7ce8e74e180dc9f62fc3e81dcec5d?source=copy_link	tfg882gsk8smdsia1mp6j4mh2o@google.com
2026-04-MYHOME-KL-SPCC-AKEMI	CONFIRMED	COMPLETED	2026	APRIL	10/04/2026	12/04/2026	3	MYHOME	KL	SPCC	AKEMI	EXHIBITION	DREAMART	True	True	A912 	72	True	True	DONE	True	NO NEED	NO NEED	NO NEED	NO NEED		137330			o875hpap6ed69b5djbhv654luk@google.com
2026-03-MLE-KL-MIDVALLEY-ZANOTTI	CONFIRMED	COMPLETED	2026	MARCH	20/03/2026	22/03/2026	3	MLE	KL	MID VALLEY	ZANOTTI	EXHIBITION	DREAMART	True	True	B40 (6 BOOTH)	54	True	True	DONE	True	NO NEED	NO NEED	NO NEED	NO NEED	NO SEC DEPO	147009	27000		g9bpg63g43hi7dhu31nl5dt11s@google.com
2026-04-HOMEDEC-PENANG-SETIASPICECONVENTIONCENTRE-AKEMI	CONFIRMED	COMPLETED	2026	APRIL	10/04/2026	12/04/2026	3	HOMEDEC	PENANG	SETIA SPICE CONVENTION CENTRE	AKEMI	EXHIBITION	DREAMART	True	True	D360,D362,D364,D366, E361,E363,E365,E367 (8 BOOTH0	72	True	True	DONE	True	NO NEED	NO NEED	NO NEED	NO NEED		167197			7mioic7n4pjtok310fp2cgieug@google.com
2026-04-MYHOME-KL-SPCC-ERGOTEX	CONFIRMED	COMPLETED	2026	APRIL	10/04/2026	12/04/2026	3	MYHOME	KL	SPCC	ERGOTEX	EXHIBITION	DREAMART	True	True	A928	36	True	True	DONE	True	NO NEED	NO NEED	NO NEED	NO NEED		170001			v6134pu84ihle5euv7l43552v0@google.com
2026-04-BIGHOME-PENANG-PWCC-ERGOTEX	CONFIRMED	COMPLETED	2026	APRIL	17/04/2026	19/04/2026	3	BIGHOME	PENANG	PWCC	ERGOTEX	EXHIBITION	DREAMART	True	True	H84-H86, H88-H90	54	True	True	DONE	True	NO NEED	NO NEED	NO NEED	IN PROGRESS		180016			keppsmv1vljfjkl4utuu4u4e34@google.com
2026-01-MYHOME-KL-THESTARLINGMALL-AKEMI	CONFIRMED	COMPLETED	2026	JANUARY	23/01/2026	25/01/2026	3	MYHOME	KL	THE STARLING MALL	AKEMI	EXHIBITION	DREAMART	True	True	 A602 (EVENT HALL)	72	True	True	DONE	True	NO NEED	NO NEED	NO NEED	NO NEED		180614	26000	https://chlorinated-glue-adf.notion.site/KL-Akemi-MYHOME-THE-STARLING-MALL-2d17ce8e74e1805f8c57c05751559636?source=copy_link	aahvbefrmti4ps04i1d0np7peg@google.com
2026-04-KAI HAO (KL CHEN)-SEREMBAN-AEONSEREMBAN2-AKEMI	CONFIRMED	COMPLETED	2026	APRIL	14/04/2026	26/04/2026	13	KAI HAO (KL CHEN)	SEREMBAN	AEON SEREMBAN 2	AKEMI	SOLO	DREAMART	True	True	CENTRE COURT	220.75	True	True	DONE	True	DONE	NO NEED	DONE	IN PROGRESS		181912			mhm9ofesf2dld754q0ds6bnirg@google.com
2026-04-HOMELOVE-SARAWAK-BCCKKUCHING-AKEMI	CONFIRMED	COMPLETED	2026	APRIL	02/04/2026	05/04/2026	4	HOMELOVE	SARAWAK	BCCK KUCHING	AKEMI	EXHIBITION	YEN CREATIVE	True	True	223-231 (9 BOOTH)	81	True	True	DONE	True	NO NEED	NO NEED	NO NEED	DONE		222984			vps31p972390ubd67hor7ctnq0@google.com
2026-04-REX-KL-MIDVALLEY-AKEMI	CONFIRMED	IN PROGRESS	2026	APRIL	24/04/2026	26/04/2026	3	REX	KL	MID VALLEY	AKEMI	EXHIBITION	DREAMART	True	True	12 (8 BOOTH)	54	True	True	DONE	True	NO NEED	NO NEED	WAITING APPROVAL	IN PROGRESS		231174			2o8bj5v4ensp27gi7m3k0dce9g@google.com
2026-03-MALL MGT-PENANG-SUNWAYCARNIVAL-DUNLOPILLO	CONFIRMED	COMPLETED	2026	MARCH	03/03/2026	08/03/2026	6	MALL MGT	PENANG	SUNWAY CARNIVAL	DUNLOPILLO	SOLO	DREAMART	True	True	2F-36	444.945	True	True	DONE	True	DONE	NO NEED	DONE	DONE	NO SEC DEPO	261439	28340.05	https://chlorinated-glue-adf.notion.site/PENANG-Akemi-SOLO-SUNWAY-CARNIVAL-MALL-3137ce8e74e1806e8d46ff335967a903?source=copy_link	0s6qsf456vpcbe7hnthguoft0o@google.com
2026-03-MYHOME-KL-THESTARLINGMALL-AKEMI	CONFIRMED	COMPLETED	2026	MARCH	06/03/2026	08/03/2026	3	MYHOME	KL	THE STARLING MALL	AKEMI	EXHIBITION	DREAMART	True	True	A602 (8 BOOTH)	72	True	True	DONE	True	NO NEED	NO NEED	NO NEED	NO NEED	NO SEC DEPO	272384	34400	https://chlorinated-glue-adf.notion.site/KL-Akemi-MYHOME-THE-STARLING-MALL-3177ce8e74e18029bdb1deb197bbc55b?source=copy_link	30c7t6ncs8hm2pbnmmlpetie3k@google.com
2026-03-MLE-KL-MIDVALLEY-ERGOTEX	CONFIRMED	COMPLETED	2026	MARCH	20/03/2026	22/03/2026	3	MLE	KL	MID VALLEY	ERGOTEX	EXHIBITION	DREAMART	True	True	B41 (6 BOOTH)	54	True	True	DONE	True	NO NEED	NO NEED	NO NEED	DONE	NO SEC DEPO	274439	30600		6rkd89tlpgfbnpe2f7rok80e44@google.com
	CONFIRMED	IN PROGRESS	2026	APRIL	30/04/2026	03/05/2026	4	HOMEDEC	KL	KLCC CONVENTION CENTRE	AKEMI	EXHIBITION	DREAMART	True	True	4F410	36	True	True	DONE	True						308792			uqpk4q2mrui59l1t8da48jgdkg@google.com
2026-03-MLE-KL-MIDVALLEY-AKEMI	CONFIRMED	COMPLETED	2026	MARCH	20/03/2026	22/03/2026	3	MLE	KL	MID VALLEY	AKEMI	EXHIBITION	DREAMART	True	True	F2	44.94	True	True	DONE	True	NO NEED	NO NEED	NO NEED	NO NEED	NO SEC DEPO	382597	38500	https://chlorinated-glue-adf.notion.site/KL-Akemi-MLE-MID-VALLEY-3227ce8e74e1806ba3cdc6b703abc938?source=copy_link	k587e0544rh20bts2985041p4c@google.com
2026-04-BIGHOME-PENANG-PWCC-AKEMI	CONFIRMED	COMPLETED	2026	APRIL	17/04/2026	19/04/2026	3	BIGHOME	PENANG	PWCC	AKEMI	EXHIBITION	DREAMART	True	True	F27-F35	81	True	True	DONE	True	NO NEED	NO NEED	NO NEED	IN PROGRESS		423956			rbcaga51l83jom4oqclilt0tr4@google.com
2026-03-BIGHOME-KL-SPCC-AKEMI	CONFIRMED	COMPLETED	2026	MARCH	13/03/2026	15/03/2026	3	BIGHOME	KL	SPCC	AKEMI	EXHIBITION	DREAMART	True	True	Y17, Y10a	120	True	True	DONE	True	NO NEED	NO NEED	NO NEED	DONE	NO SEC DEPO	451830	3488	https://chlorinated-glue-adf.notion.site/KL-Akemi-BIGHOME-SPCC-SUNWAY-PYRAMID-2d17ce8e74e180fbb07ef8ffcf473999?source=copy_link	tfg73nheq6rob0bab1djjonvu4@google.com
2026-04-BIGHOME-KL-STADIUMBUKITJALIL-ZANOTTI	CONFIRMED	COMPLETED	2026	APRIL	09/04/2026	12/04/2026	4	BIGHOME	KL	STADIUM BUKIT JALIL	ZANOTTI	EXHIBITION	DREAMART	True	True	F89, F90, F96, F97	36	True	True	DONE	True	NO NEED	NO NEED	NO NEED	NO NEED					4i2hc5rlnrul2gqorbj2i26j4c@google.com
	CONFIRMED		2026	MAY	01/05/2026	03/05/2026	3	BIGHOME	JOHOR	MVEC SOUTHKEY	ZANOTTI	EXHIBITION	DREAMART	False	False	B81-B83, B88-B90		False	False		False									hgkdln3l9hafi4a4dtoumtkr30@google.com
2026-08-BIGHOME-PENANG-SETIASPICECONVENTIONCENTRE-AKEMI	CONFIRMED		2026	AUGUST	07/08/2026	09/08/2026	3	BIGHOME	PENANG	SETIA SPICE CONVENTION CENTRE	AKEMI	EXHIBITION	DREAMART	True	True			True	True	DONE	True				FALSE					e0bsrst20bb6kcq35p6hhif128@google.com
2026-08-BIGHOME-PENANG-SETIASPICECONVENTIONCENTRE-ZANOTTI	CONFIRMED		2026	AUGUST	07/08/2026	09/08/2026	3	BIGHOME	PENANG	SETIA SPICE CONVENTION CENTRE	ZANOTTI	EXHIBITION	DREAMART	True	True			True	True	DONE	True				FALSE					dd93cqpcm5cni0sipbon7egteo@google.com
